rank,cell,sl_multiplier,trailing_open,trailing_close,max_hold,activation_delay,net_compound,drawdown_pct,edge,oos,passes_dd,beats_netdd,beats_edge,beats_oos,beats_all,win_rate_pct,signals_included,tick_signals,m1_signals
0,tc18_base,,,,,,785949.36,28.93,19149.55,-1136.5,,,,,,35.6,3340,2433,907
1,tc18_slm16_to05_tc05_mh240_ad0,1.6,0.5,0.5,240,0,1953874.68,34.76,25317.68,796.93,True,False,True,True,False,36.4,3340,2416,924
2,tc18_slm16_to05_tc05_mh300_ad0,1.6,0.5,0.5,300,0,1875560.2,33.83,22805.89,-820.77,True,False,True,True,False,35.2,3340,2433,907
3,tc18_slm16_to05_tc075_mh240_ad0,1.6,0.5,0.75,240,0,1837602.54,34.83,24955.34,796.93,True,False,True,True,False,36.4,3340,2416,924
4,tc18_slm16_to05_tc075_mh300_ad0,1.6,0.5,0.75,300,0,1756125.19,33.84,22430.3,-820.77,True,False,True,True,False,35.2,3340,2433,907
5,tc18_slm16_to07_tc05_mh240_ad0,1.6,0.7,0.5,240,0,1652527.93,36.23,23634.8,726.91,True,False,True,True,False,36.3,3340,2416,924
6,tc18_slm17_to05_tc05_mh300_ad0,1.7,0.5,0.5,300,0,1588704.31,30.97,22880.22,-1327.9,True,False,True,False,False,36.3,3340,2433,907
7,tc18_slm17_to05_tc05_mh240_ad0,1.7,0.5,0.5,240,0,1587294.38,32.46,24909.62,396.9,True,False,True,True,False,37.3,3340,2416,924
8,tc18_slm16_to07_tc05_mh300_ad0,1.6,0.7,0.5,300,0,1571561.71,35.23,21691.15,-786.38,True,False,True,True,False,35.3,3340,2433,907
9,tc18_slm16_to07_tc075_mh240_ad0,1.6,0.7,0.75,240,0,1544858.02,36.21,23283.46,726.91,True,False,True,True,False,36.3,3340,2416,924
10,tc18_slm17_to05_tc075_mh300_ad0,1.7,0.5,0.75,300,0,1486843.35,31.1,22494.88,-1327.9,True,False,True,False,False,36.3,3340,2433,907
11,tc18_slm17_to05_tc075_mh240_ad0,1.7,0.5,0.75,240,0,1485107.67,32.47,24537.53,396.9,True,False,True,True,False,37.3,3340,2416,924
12,tc18_slm16_to07_tc075_mh300_ad0,1.6,0.7,0.75,300,0,1483462.94,35.34,21327.56,-786.38,True,False,True,True,False,35.3,3340,2433,907
13,tc18_slm16_to05_tc05_mh240_ad2,1.6,0.5,0.5,240,2,1258356.15,34.19,22459.24,796.23,True,False,True,True,False,34.6,3340,2416,924
14,tc18_slm16_to05_tc05_mh240_ad1,1.6,0.5,0.5,240,1,1245864.61,34.21,21933.31,584.13,True,False,True,True,False,34.8,3340,2416,924
15,tc18_slm17_to07_tc05_mh240_ad0,1.7,0.7,0.5,240,0,1237380.06,34.7,22768.38,855.31,True,False,True,True,False,37.1,3340,2416,924
16,tc18_slm18_to05_tc05_mh300_ad0,1.8,0.5,0.5,300,0,1216461.31,29.7,22536.52,-920.41,True,False,True,True,False,37.6,3340,2433,907
17,tc18_slm17_to07_tc05_mh300_ad0,1.7,0.7,0.5,300,0,1207755.08,33.32,21002.42,-700.37,True,False,True,True,False,36.2,3340,2433,907
18,tc18_slm18_to05_tc05_mh240_ad0,1.8,0.5,0.5,240,0,1206859.37,31.77,24900.42,1392.18,True,False,True,True,False,38.5,3340,2416,924
19,tc18_slm16_to05_tc075_mh240_ad2,1.6,0.5,0.75,240,2,1175953.84,34.27,22104.72,796.23,True,False,True,True,False,34.6,3340,2416,924
20,tc18_slm16_to05_tc075_mh240_ad1,1.6,0.5,0.75,240,1,1164759.98,34.36,21581.54,584.13,True,False,True,True,False,34.8,3340,2416,924
21,tc18_slm17_to07_tc075_mh240_ad0,1.7,0.7,0.75,240,0,1153738.39,34.73,22409.29,855.31,True,False,True,True,False,37.0,3340,2416,924
22,tc18_slm18_to05_tc075_mh300_ad0,1.8,0.5,0.75,300,0,1151454.58,29.87,22143.93,-920.41,True,False,True,True,False,37.6,3340,2433,907
23,tc18_slm17_to07_tc075_mh300_ad0,1.7,0.7,0.75,300,0,1135173.49,33.22,20631.08,-700.37,True,False,True,True,False,36.1,3340,2433,907
24,tc18_slm18_to05_tc075_mh240_ad0,1.8,0.5,0.75,240,0,1134189.68,31.74,24522.58,1392.18,True,False,True,True,False,38.5,3340,2416,924
25,tc18_slm16_to05_tc05_mh300_ad2,1.6,0.5,0.5,300,2,1126416.4,33.75,19387.93,-821.47,True,False,True,True,False,33.3,3340,2433,907
26,tc18_slm16_to05_tc05_mh300_ad1,1.6,0.5,0.5,300,1,1111557.9,33.84,18849.22,-1033.57,True,False,False,True,False,33.4,3340,2433,907
27,tc18_slm17_to05_tc05_mh240_ad2,1.7,0.5,0.5,240,2,1076747.09,30.77,21928.69,183.61,True,False,True,True,False,35.5,3340,2416,924
28,tc18_slm16_to05_tc075_mh300_ad2,1.6,0.5,0.75,300,2,1053056.96,33.93,19026.66,-821.47,True,False,False,True,False,33.3,3340,2433,907
29,tc18_slm17_to05_tc05_mh240_ad1,1.7,0.5,0.5,240,1,1051587.04,30.92,21698.36,181.3,True,False,True,True,False,35.7,3340,2416,924
30,tc18_slm16_to07_tc05_mh240_ad2,1.6,0.7,0.5,240,2,1049635.16,36.33,21103.16,977.09,True,False,True,True,False,34.6,3340,2416,924
31,tc18_slm16_to07_tc05_mh240_ad1,1.6,0.7,0.5,240,1,1038494.36,36.67,20588.13,766.67,True,False,True,True,False,34.8,3340,2416,924
32,tc18_slm16_to05_tc075_mh300_ad1,1.6,0.5,0.75,300,1,1036271.18,33.99,18490.7,-1033.57,True,False,False,True,False,33.4,3340,2433,907
33,tc18_slm18_to07_tc05_mh240_ad0,1.8,0.7,0.5,240,0,1014696.01,31.83,22848.11,873.61,True,False,True,True,False,38.0,3340,2416,924
34,tc18_slm17_to05_tc075_mh240_ad2,1.7,0.5,0.75,240,2,1011192.74,31.1,21563.17,183.61,True,False,True,True,False,35.5,3340,2416,924
35,tc18_slm17_to05_tc05_mh300_ad2,1.7,0.5,0.5,300,2,1005072.33,29.89,19357.38,-1541.19,True,False,True,False,False,34.3,3340,2433,907
36,tc18_slm17_to05_tc075_mh240_ad1,1.7,0.5,0.75,240,1,989748.4,31.13,21336.34,181.3,True,False,True,True,False,35.7,3340,2416,924
37,tc18_slm17_to05_tc05_mh300_ad1,1.7,0.5,0.5,300,1,987832.53,29.98,19124.21,-1543.5,True,False,False,False,False,34.5,3340,2433,907
38,tc18_slm18_to07_tc05_mh300_ad0,1.8,0.7,0.5,300,0,979836.3,30.5,20542.65,-1271.12,True,False,True,False,False,37.1,3340,2433,907
39,tc18_slm16_to07_tc075_mh240_ad2,1.6,0.7,0.75,240,2,978834.07,36.43,20759.89,977.09,True,False,True,True,False,34.6,3340,2416,924
40,tc18_slm16_to07_tc075_mh240_ad1,1.6,0.7,0.75,240,1,976588.45,36.89,20247.61,766.67,True,False,True,True,False,34.8,3340,2416,924
41,tc18_slm18_to07_tc075_mh240_ad0,1.8,0.7,0.75,240,0,953576.16,31.97,22480.02,873.61,True,False,True,True,False,38.0,3340,2416,924
42,tc18_slm16_to07_tc05_mh300_ad2,1.6,0.7,0.5,300,2,939053.81,36.04,18419.33,-699.93,True,False,False,True,False,33.5,3340,2433,907
43,tc18_slm16_to07_tc05_mh300_ad1,1.6,0.7,0.5,300,1,938840.64,36.3,17949.9,-910.35,True,False,False,True,False,33.6,3340,2433,907
44,tc18_slm17_to05_tc075_mh300_ad2,1.7,0.5,0.75,300,2,936637.19,29.91,18985.11,-1541.19,True,False,False,False,False,34.3,3340,2433,907
45,tc18_slm17_to05_tc075_mh300_ad1,1.7,0.5,0.75,300,1,920385.56,30.07,18755.44,-1543.5,True,False,False,False,False,34.5,3340,2433,907
46,tc18_slm18_to07_tc075_mh300_ad0,1.8,0.7,0.75,300,0,918990.93,30.62,20162.31,-1271.12,True,False,True,False,False,37.1,3340,2433,907
47,tc18_slm16_to07_tc075_mh300_ad2,1.6,0.7,0.75,300,2,882956.01,35.97,18068.56,-699.93,True,False,False,True,False,33.5,3340,2433,907
48,tc18_slm16_to07_tc075_mh300_ad1,1.6,0.7,0.75,300,1,882065.19,36.19,17601.88,-910.35,True,False,False,True,False,33.6,3340,2433,907
49,tc18_slm17_to07_tc05_mh240_ad2,1.7,0.7,0.5,240,2,858077.02,34.11,20683.82,897.1,True,False,True,True,False,35.5,3340,2416,924
50,tc18_slm18_to05_tc05_mh240_ad2,1.8,0.5,0.5,240,2,853028.07,30.3,22150.83,1176.09,True,False,True,True,False,36.8,3340,2416,924
51,tc18_slm18_to05_tc05_mh240_ad1,1.8,0.5,0.5,240,1,829341.74,30.63,21781.33,1173.78,True,False,True,True,False,36.9,3340,2416,924
52,tc18_slm17_to07_tc05_mh240_ad1,1.7,0.7,0.5,240,1,828617.08,34.36,19995.17,895.07,True,False,True,True,False,35.6,3340,2416,924
53,tc18_slm17_to07_tc075_mh240_ad2,1.7,0.7,0.75,240,2,812923.77,34.36,20329.55,897.1,True,False,True,True,False,35.5,3340,2416,924
54,tc18_slm18_to05_tc075_mh240_ad2,1.8,0.5,0.75,240,2,799783.3,31.17,21778.56,1176.09,True,False,True,True,False,36.8,3340,2416,924
55,tc18_slm17_to07_tc05_mh300_ad2,1.7,0.7,0.5,300,2,798547.16,33.08,18191.97,-830.01,True,False,False,True,False,34.4,3340,2433,907
56,tc18_slm18_to05_tc05_mh300_ad2,1.8,0.5,0.5,300,2,785949.36,28.93,19149.55,-1136.5,True,False,False,False,False,35.6,3340,2433,907
57,tc18_slm18_to05_tc075_mh240_ad1,1.8,0.5,0.75,240,1,783650.96,31.06,21412.31,1173.78,True,False,True,True,False,36.9,3340,2416,924
58,tc18_slm17_to07_tc075_mh240_ad1,1.7,0.7,0.75,240,1,781682.59,34.63,19644.65,895.07,True,False,True,True,False,35.6,3340,2416,924
59,tc18_slm17_to07_tc05_mh300_ad1,1.7,0.7,0.5,300,1,773729.61,32.93,17559.2,-832.04,True,False,False,True,False,34.5,3340,2433,907
60,tc18_slm18_to05_tc05_mh300_ad1,1.8,0.5,0.5,300,1,769121.77,29.04,18797.22,-1138.81,True,False,False,False,False,35.7,3340,2433,907
61,tc18_slm17_to07_tc075_mh300_ad2,1.7,0.7,0.75,300,2,754129.92,33.2,17830.2,-830.01,True,False,False,True,False,34.4,3340,2433,907
62,tc18_slm18_to05_tc075_mh300_ad2,1.8,0.5,0.75,300,2,739813.05,29.06,18770.03,-1136.5,True,False,False,False,False,35.6,3340,2433,907
63,tc18_slm17_to07_tc075_mh300_ad1,1.7,0.7,0.75,300,1,729278.4,33.26,17201.18,-832.04,True,False,False,True,False,34.5,3340,2433,907
64,tc18_slm18_to05_tc075_mh300_ad1,1.8,0.5,0.75,300,1,724819.68,28.94,18420.95,-1138.81,True,False,False,False,False,35.7,3340,2433,907
65,tc18_slm18_to07_tc05_mh240_ad2,1.8,0.7,0.5,240,2,719596.22,30.93,20518.43,915.4,True,False,True,True,False,36.4,3340,2416,924
66,tc18_slm18_to07_tc05_mh240_ad1,1.8,0.7,0.5,240,1,705621.53,31.01,20128.25,913.37,True,False,True,True,False,36.6,3340,2416,924
67,tc18_slm18_to07_tc075_mh240_ad2,1.8,0.7,0.75,240,2,675524.13,30.94,20155.66,915.4,True,False,True,True,False,36.4,3340,2416,924
68,tc18_slm18_to07_tc075_mh240_ad1,1.8,0.7,0.75,240,1,662238.18,31.08,19768.73,913.37,True,False,True,True,False,36.6,3340,2416,924
69,tc18_slm18_to07_tc05_mh300_ad2,1.8,0.7,0.5,300,2,654018.43,29.48,17467.43,-1408.46,True,False,False,False,False,35.3,3340,2433,907
70,tc18_slm18_to07_tc05_mh300_ad1,1.8,0.7,0.5,300,1,645833.3,29.55,17154.59,-1410.49,True,False,False,False,False,35.5,3340,2433,907
71,tc18_slm18_to07_tc075_mh300_ad2,1.8,0.7,0.75,300,2,620026.03,29.55,17097.16,-1408.46,True,False,False,False,False,35.3,3340,2433,907
72,tc18_slm18_to07_tc075_mh300_ad1,1.8,0.7,0.75,300,1,602252.71,29.8,16787.57,-1410.49,True,False,False,False,False,35.5,3340,2433,907
